Sales,CompPrice,Income,Advertising,Population,Price,ShelveLoc,Age,Education,Urban,US,HighSales
9.5,124998,66122,9964,276,108694,Bad,42,17,Yes,Yes,1
11.22,100542,43477,14492,260,75180,Good,65,10,Yes,Yes,1
10.06,102353,31702,9058,269,72462,Medium,59,12,Yes,Yes,1
7.4,105976,90578,3623,466,87861,Medium,55,14,Yes,Yes,0
4.15,127715,57970,2717,340,115940,Bad,38,13,Yes,No,0
10.81,112317,102353,11775,501,65216,Bad,78,16,No,Yes,1
6.63,104165,95107,0,45,97824,Medium,71,15,Yes,No,0
11.85,123186,73368,13587,425,108694,Good,67,10,Yes,Yes,1
6.54,119563,99636,0,108,112317,Medium,76,10,No,No,0
4.69,119563,102353,0,131,112317,Medium,76,17,No,Yes,0
9.01,109599,70651,8152,150,90578,Bad,26,10,No,Yes,1
11.96,105976,85143,3623,503,85143,Good,50,13,Yes,Yes,1
3.98,110505,31702,1812,393,123186,Medium,62,18,Yes,No,0
10.96,104165,25362,9964,29,77897,Good,53,18,Yes,Yes,1
11.17,96918,105976,9964,148,106882,Good,52,18,Yes,Yes,1
8.71,134961,86049,4529,400,130432,Medium,76,18,No,No,1
7.58,106882,28985,0,284,99636,Good,63,13,Yes,No,0
12.29,133150,67028,11775,251,118657,Good,52,10,Yes,Yes,1
13.91,99636,99636,0,408,61593,Good,46,17,No,Yes,1
8.73,116846,68839,14492,58,109599,Medium,69,12,Yes,Yes,1
6.41,113222,81520,1812,367,118657,Medium,35,18,Yes,Yes,0
12.13,121375,26268,10869,239,98730,Good,62,18,No,Yes,1
5.08,115940,41666,5435,497,124998,Medium,42,13,Yes,No,0
5.87,109599,28079,0,292,98730,Medium,79,10,Yes,No,0
10.14,131338,107788,14492,294,102353,Bad,42,12,Yes,Yes,1
14.9,125903,28985,0,176,74274,Good,54,11,No,No,1
8.33,96918,104165,9964,496,118657,Good,50,11,No,Yes,1
5.27,88766,106882,0,19,96918,Medium,64,17,Yes,No,0
2.99,93295,67028,0,359,87861,Bad,55,11,Yes,Yes,0
7.81,94201,89672,13587,226,92390,Bad,58,17,Yes,Yes,0
13.55,113222,85143,0,447,80614,Good,30,12,Yes,No,1
8.25,123186,52535,14492,241,118657,Medium,44,18,Yes,Yes,1
6.2,96918,28985,10869,236,124092,Good,64,10,No,Yes,0
8.77,103259,34420,11775,317,115940,Good,50,16,Yes,Yes,1
2.67,104165,48912,0,406,115940,Medium,42,17,Yes,Yes,0
11.07,118657,76086,9964,29,86955,Medium,44,17,No,Yes,1
8.89,110505,68839,0,270,90578,Good,60,18,No,No,1
4.95,109599,37137,4529,412,99636,Medium,54,10,Yes,Yes,0
6.59,98730,66122,0,454,92390,Medium,65,15,Yes,No,0
3.24,117751,54347,0,144,124998,Bad,38,10,No,No,0
2.07,107788,88766,0,18,114128,Bad,73,17,No,No,0
7.96,142207,48006,0,403,112317,Bad,58,16,Yes,No,0
10.43,69745,62499,0,25,21739,Medium,50,18,Yes,No,1
4.12,111411,38043,9964,16,121375,Medium,59,13,Yes,Yes,0
4.16,76991,71557,5435,325,86049,Medium,69,13,Yes,Yes,0
